Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
OMN,0,0,0,0,170,230,270,300,330,410,500,610,700,840,1040,1070,1140,1170,1250,1250,1270,1380,1610,15540
PAK,0,0,0,0,8720,9500,9630,10160,10950,12280,13290,14190,15290,16810,18320,21060,23950,27250,30600,34150,39290,44870,49770,410080
PAN,0,0,0,0,140,130,140,140,140,140,150,150,160,170,190,190,200,200,220,230,240,240,260,3430
PER,0,0,0,0,5310,5550,5590,5670,5770,5940,6050,6290,6430,6690,7150,7760,8530,9200,9610,9830,10050,10310,10380,142110
PHL,87220,90710,95270,100420,104820,106450,107620,110200,112180,114260,118360,123300,128610,134590,141890,151180,163050,175010,183770,193030,206240,217990,225110,3191280
PLW,0,0,0,0,0,10,10,20,20,20,20,20,10,10,10,10,10,20,20,20,20,20,20,290
PNG,26560,26420,26220,26130,26120,25760,25730,25640,25600,25650,25910,26300,26570,26880,27330,28000,28890,29530,30060,30650,31320,32050,33100,636420
POL,72180,72130,72160,72400,72420,71360,69910,68430,66890,65530,64860,64280,63740,63290,62900,61870,60750,59840,58930,57900,57260,56740,56360,1492130
PRI,0,0,0,0,100,120,110,120,130,140,160,160,170,160,180,190,230,130,150,150,150,170,170,2890
PRK,0,0,0,0,260,290,320,340,380,400,430,430,440,440,430,360,270,240,230,240,200,180,220,6100
PRT,18400,18240,18220,18390,18660,18700,18490,18270,17990,17780,17880,17980,18030,18160,18280,18310,18390,18460,18470,18550,18770,19120,19290,422830
PRY,0,0,0,0,320,350,350,350,360,360,390,400,400,410,420,410,410,420,440,450,470,480,490,7680
PSE,0,0,0,0,3060,3000,2980,3010,3060,3120,3180,3200,3230,3260,3260,3210,3180,3110,3070,3020,2990,2920,2880,58740
PYF,0,0,0,0,260,280,310,320,350,360,380,400,400,390,390,410,430,440,470,480,490,510,530,7600
QAT,0,0,0,0,170,190,200,230,260,270,330,360,410,440,490,530,570,610,660,690,770,840,960,8980
REU,0,0,0,0,70,80,80,90,90,80,90,110,140,140,160,180,200,220,220,210,230,240,250,2880
ROU,11780,12070,12380,12750,13130,13720,13800,14020,14180,14380,14670,15040,15350,15680,16110,16300,16390,16530,16650,16720,16930,17100,17300,342980
RUS,0,0,0,0,17190,17640,17200,17070,16810,16710,17220,17590,17730,18110,18540,18890,19450,20110,20780,21500,22290,23240,24170,362240
RWA,0,0,0,0,20,50,50,50,50,60,60,80,130,190,240,330,400,480,620,720,800,860,910,6100
SAU,0,0,0,0,1120,1300,1380,1440,1530,1620,1900,2210,2540,2960,3550,4740,7970,11220,12600,12640,12280,12010,12310,107320
SDN,0,0,0,0,2570,3050,3310,3750,4090,5090,6220,9410,13470,18590,20880,23230,24130,24890,25440,22000,22330,22780,23090,278320
SEN,0,0,0,0,210,220,220,220,240,240,250,270,270,290,260,280,340,350,370,380,390,390,390,5580
SGP,26130,26260,27100,28900,31260,33250,33450,33570,34240,35670,36930,38560,40140,43070,45810,47830,49510,51610,53540,55810,58550,62400,70100,963690
SLB,0,0,0,0,1260,1230,1300,1340,1390,1430,1490,1550,1570,1640,1700,1750,1820,1900,1930,2020,2080,2200,2340,31940
SLE,0,0,0,0,170,180,190,200,260,370,790,970,990,1570,1950,2450,2700,2920,3320,3440,3590,3700,3780,33540
SLV,0,0,0,0,10960,11090,10990,10830,10670,10580,10630,10670,10710,10750,10780,10790,10820,10870,10960,10990,11030,11040,11040,206200
SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,30
SOM,0,0,0,0,2130,2720,3360,3810,3750,3770,4160,4320,4410,4500,4620,5010,5270,5660,6190,6590,7050,7480,7930,92730
SPM,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
SRB,0,0,0,0,50500,50790,50450,51800,52060,52050,50020,47330,43440,39290,35930,35700,35550,35390,35170,34850,34640,34500,34410,803870
SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3890,3920,4010,4120,15940
STP,0,0,0,0,20,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,400
SUR,0,0,0,0,90,80,80,90,90,80,90,100,100,100,110,120,120,120,120,130,140,160,160,2080
SVK,0,0,0,0,5840,6000,6090,6230,6360,6430,6310,6200,6150,6050,5970,6000,6010,6000,5990,6030,6110,6280,6430,116480
SVN,0,0,0,0,9460,9250,9050,8850,8640,8440,8590,8680,8740,8760,8860,8750,8670,8520,8390,8270,8160,8090,8060,164230
SWE,0,0,0,0,6390,6630,6800,6890,7110,7300,7550,7840,8210,8550,8950,9230,9520,9740,10040,10330,10840,11400,12510,165830
SWZ,0,0,0,0,150,180,200,230,250,230,250,260,260,260,280,290,310,320,340,350,370,370,370,5270
SXM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10,30
SYC,0,0,0,0,2900,2860,2820,2800,2790,2720,2780,2810,2860,2900,2940,2970,2990,2990,2970,2980,2980,2960,2960,54980
SYR,0,0,0,0,6620,6800,6950,7160,7320,7610,7780,8010,8120,8270,8430,8650,8840,9130,9330,9660,10070,10450,11270,160470
TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCD,0,0,0,0,30,30,50,40,30,40,40,40,50,40,30,40,50,50,60,60,70,80,80,910
TGO,0,0,0,0,10,10,20,10,20,20,20,30,30,30,40,90,180,230,290,320,340,340,360,2390
THA,15240,15800,16850,18340,19890,20550,21250,22120,23040,24440,26390,28250,29700,31540,34060,38310,43200,48480,51570,52990,55200,58330,61910,757450
TJK,0,0,0,0,30,40,40,50,40,60,50,60,70,70,70,80,90,90,110,110,120,130,130,1440
TKL,0,0,0,0,190,210,240,260,280,300,340,380,420,430,440,440,490,540,570,600,660,710,720,8220
TKM,0,0,0,0,10,10,20,30,30,30,40,60,60,60,60,60,70,80,90,80,100,100,100,1090
TLS,0,0,0,0,0,0,0,0,0,10420,10490,10580,10620,10710,10830,10720,10640,10630,10580,10540,10570,10570,10750,148650
TON,0,0,0,0,7750,7690,7720,7940,8090,8360,8600,8710,8720,8710,8720,8900,9300,9710,10060,10560,11050,11450,11780,173820
